date,AAPL,AMD,AMZN,AVGO,BA,BAC,CAT,COST,CVX,DE,DIS,EEM,EFA,F,GLD,GM,GOOGL,GS,HD,HYG,IEF,INTC,IWD,IWF,IWM,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LQD,MA,META,MSFT,MTUM,NEE,NKE,NVDA,PEP,PFE,PG,QQQ,QUAL,SBUX,SPY,T,TLT,TSLA,UNH,USMV,USO,UUP,V,VNQ,VZ,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XOM
2020-01-15,121923600,40199900,57932000,22733000,4578300,74745500,2640500,1604000,5808800,1139200,6818200,60620600,12217900,55923900,6510000,7173900,21550000,5411200,3444300,24637900,2734800,18498800,1502300,12532800,15437200,4960300,16293400,4243700,17735400,1078200,3676500,833000,8712400,4664200,10036500,21417900,648200,6397200,4209200,263104000,5002600,23925800,4843700,25742100,1140300,6145300,72056600,34526213,6290500,260532000,6081300,4414100,1881763,242500,10831100,4471500,10291300,7797000,2136800,21661600,41457300,12014500,14417000,12454300,4468700,31771800,7521800,6523800,11390300
2020-01-16,108829200,58898900,53190000,21508000,4024100,50368500,3070900,1758600,7022000,1410400,6948400,50712700,12883400,44310400,6069100,7280800,26080000,3968400,5390800,22349200,2200500,21365500,1821500,5381600,19976200,6476000,10783800,3950400,10234100,1302600,3794800,1085200,13926100,3323300,10015300,23865400,480900,7914400,6571700,284192000,4977900,16216422,6233700,18805000,911500,5180300,54050300,36172077,6798600,326050500,3710300,4249800,1960813,108600,9983700,4426700,10689600,18799800,2031600,16449000,34444000,9493300,11543200,8048600,4244500,21797600,5479900,8699000,13340300
2020-01-17,137816400,57722500,79946000,26896000,11061700,54156100,3331500,2506500,7885900,1653400,10355300,72382100,18473700,41644900,11121100,9871700,52424000,3108400,7979200,29626700,2627000,21803400,2297000,8424800,18306400,9083600,14697700,6645600,14264300,1903700,5393200,1195600,13727800,4821000,15905900,34371700,641600,9354000,6271200,253792000,6908700,23083970,11315200,24325200,721700,6962800,95846000,44477926,9693100,204436500,4632200,4102100,2220763,284500,12518900,3581300,15615700,10894400,6103700,23818200,38819400,7013400,21661000,14902700,3014700,26517600,6533400,13473200,18144100
2020-01-21,110843200,49095000,74156000,21967000,19318000,50811000,2476700,3585900,8470300,1655100,9250200,106662600,20026600,49556400,6086100,11550500,48930000,2492400,4873500,19724900,2355600,28358500,3198600,9147200,17935100,9543900,8474200,7106600,11968900,1384500,4849500,1071400,16807300,5998600,14275800,29517200,589500,11486400,4854700,217916000,4440000,23115696,8553100,21146300,947400,7094600,77742400,57931090,6794900,267052500,4962800,4601800,1709638,327200,14861700,4217400,12857600,7614800,3182000,34709200,41276500,13005000,17975000,11300300,2329500,47753000,6644800,8003800,17982600
2020-01-22,101832400,40772200,64326000,29264000,18792600,38879700,3602400,2218900,5589900,1285700,7550000,57584900,14047000,39914800,4778200,7358400,28458000,2030900,4030800,17731800,1787600,29475100,1595900,3574800,14916300,10305300,7549100,4535000,12869600,966900,2742100,918700,9928600,3518500,12212800,24138800,785600,7065600,5031400,239240000,5366100,18097812,7396700,20736400,912300,6157400,48914900,47842475,6317000,470535000,3117600,4333900,3196463,216500,8065000,5024300,8847100,5475000,4542800,29355400,27391000,7490500,15491600,8046500,5815200,21683200,9431500,7930200,17033100
2020-01-23,104472000,40135400,49692000,30266000,9702100,45717100,3182700,1535900,8007800,1245100,11082000,88714300,18720200,75848700,8419800,8595200,26650000,2806800,4617900,28566200,1891300,42778700,1477100,8570800,15954300,8671900,9345700,4280600,12858900,1400700,3138700,978400,13623200,4188300,11195000,19680800,988300,10212400,7102900,244516000,3915700,27148510,11096500,26496100,865300,6100600,51963000,38406592,9747400,294765000,3169600,3253700,3858525,126400,8520800,4825000,11109000,6925200,1985600,26556000,43072300,10758500,14956400,14563100,2637800,25938600,8522600,7991800,19605900
2020-01-24,146537600,80004900,75324000,55782000,17798200,47797200,2526200,1986100,6920000,1103300,13076300,88654500,24107500,68100900,9919900,9386600,29786000,2877400,4467500,40838300,7932600,84711000,1476500,8043200,20491400,9051900,15166400,5951500,8594300,1541600,3183300,1086700,11604500,3634700,11905800,24918100,673700,10310400,3839300,373512000,2791500,34143698,9508600,37436500,903100,7815500,87578400,45632057,8585000,215304000,3678500,4984300,3051025,221800,7812900,3518100,10182800,10493400,3175800,40781200,58924900,13402200,23617400,11935100,2397900,28803000,15962700,11381800,18238600
2020-01-27,161940000,48878600,70570000,38843000,7468100,57096200,2920500,2265100,7609800,1586800,12831800,129321800,32766700,60769300,9988100,10359100,34132000,2506200,3595600,41372700,3824600,30764000,2245900,7368800,18539000,7587100,12860500,5806100,14359900,1947800,2826400,1737900,10461200,4367500,13810700,32078100,709500,8678800,9841400,470536000,3895300,31964026,9338400,42264400,1150300,11066500,84062500,46633398,10935200,204121500,4399400,3262000,3142588,226800,7198900,3047000,11482300,13869200,5708800,43365000,50289300,15013800,35574600,8748400,6741600,22544400,11762300,15754200,21231000
2020-01-28,162234000,62343800,56160000,23166000,5502200,38834600,2763800,1571700,5771900,1750700,10390000,82396700,18001700,85163400,7543100,8871000,29724000,3123000,3621900,32628300,1923600,30915400,1327800,4343600,16690400,7336600,13062800,5645000,15240200,1229400,2649100,2063200,12055900,3486200,13413800,24899900,917100,8262800,5673200,310976000,2908300,70202408,6200200,26731900,909100,11922400,63834000,40842487,10612900,176827500,4341000,5018000,3048700,158400,7215700,3006100,15367500,8982200,6526600,28600200,34257900,14918000,31184400,7899500,2904300,35056800,8079900,11815400,19664700
2020-01-29,216229200,112349900,41760000,23668000,12454700,37414700,2620000,1713700,4772800,1959200,9382700,51814700,14916600,59057400,5013100,6977700,21566000,3711600,2564000,17308200,2429500,18055800,1564500,3978000,14944400,6288600,9326000,9042600,13163600,982700,2815500,1268500,11174700,4389400,33181300,34754500,761500,6008400,4503700,258848000,3263200,34165726,5271000,28924500,684200,17678700,53888900,76732420,9566800,267022500,3963800,3881300,2720475,152600,7041700,3785500,13408900,7138400,5983800,27490800,41167500,10355100,21126600,8300800,5409600,21599600,6435700,5860000,14202800
